Category,Description,Assigned_Team
Hardware,third - party vendor notify laptop screen vertical line,Desktop Support
Software,incident log : application crash workflow await assignment,Application Support
Software,remote user experience cloud sync failure vpn session active,Application Support
Network,remote user experience ssid visible vpn session active,Network Team
Hardware,post - maintenance report : laptop screen white screen observe,Desktop Support
Hardware,third - party vendor notify laptop screen ghost,Desktop Support
Security,multiple user affect certificate expire priority raise,Security Team
Network,multiple user affect network dual - stack error priority raise,Network Team
Hardware,remote user experience laptop screen pink tint vpn session active,Desktop Support
Access,remote desktop login failure impact business operation,Desktop Support
Hardware,department manager flag printer paper jam critical,Desktop Support
Access,post - maintenance report : smart card recognize observe,Desktop Support
Software,application configuration mismatch confirm system scan,Application Support
Security,incident log : firewall intrusion alert await assignment,Security Team
Hardware,dock station failure issue escalate department head,Desktop Support
Security,user submit ticket suspicious pci violation via self - service portal,Security Team
Software,incident log : cache corruption await assignment,Application Support
Security,automate alert trigger brute force login attempt,Security Team
Software,help desk receive complaint application crash vm migration review,Application Support
Software,help desk receive complaint corrupt installation package review,Application Support
Software,file format support confirm system scan,Application Support
Access,post - maintenance report : account lockout observe,Desktop Support
Security,remote user experience suspicious container activity vpn session active,Security Team
Hardware,third - party vendor notify docking station recognize,Desktop Support
Security,third - party vendor notify suspicious login location,Security Team
Security,department manager flag brute force login attempt critical,Security Team
Network,department manager flag network ddo detect critical,Network Team
Network,user submit ticket network alert storm via self - service portal,Network Team
Access,directory sync error confirm system scan,Desktop Support
Network,remote user experience access point misconfigure vpn session active,Network Team
Software,sla breach risk due plugin loading escalate,Application Support
Software,sla breach risk due application crash service call escalate,Application Support
Security,sla breach risk due suspicious iot device alert escalate,Security Team
Hardware,recur laptop screen cable loose report week,Desktop Support
Access,ticket raise directory sync failure team notify,Desktop Support
Security,sla breach risk due suspicious registry change escalate,Security Team
Software,department manager flag application crash module critical,Application Support
Hardware,mouse issue confirm system scan,Desktop Support
Access,directory sync failure confirm system scan,Desktop Support
Hardware,sla breach risk due laptop screen horizontal line escalate,Desktop Support
Security,multiple user affect suspicious insider activity priority raise,Security Team
Access,ticket raise directory sync error team notify,Desktop Support
Security,remote user experience ransomware infection vpn session active,Security Team
Software,ticket raise application crash restore team notify,Application Support
Security,post - maintenance report : suspicious scada alert observe,Security Team
Security,multiple user affect ransomware alert priority raise,Security Team
Network,system flag rout loop diagnostic initiate,Network Team
Access,multiple user affect mfa work priority raise,Desktop Support
Security,incident log : suspicious ot device alert await assignment,Security Team
Network,sla breach risk due ethernet port disable escalate,Network Team
Access,system flag group membership problem diagnostic initiate,Desktop Support
Network,incident log : network segmentation error await assignment,Network Team
Network,switch port confirm system scan,Network Team
Software,user unable proceed due application crash login,Application Support
Software,third - party vendor notify application crash import,Application Support
Software,incident log : update rollback issue await assignment,Application Support
Access,department manager flag access deny guest policy critical,Desktop Support
Network,third - party vendor notify switch port,Network Team
Software,email client sync impact business operation,Application Support
Security,recur spyware infection report week,Security Team
Access,user unable proceed due access deny mfa policy,Desktop Support
Hardware,ticket raise laptop screen ghost image team notify,Desktop Support
Access,access deny guest policy impact business operation,Desktop Support
Security,multiple user affect suspicious driver installation priority raise,Security Team
Software,application cpu overload impact business operation,Application Support
Security,sla breach risk due suspicious policy violation escalate,Security Team
Access,multiple user affect access deny server priority raise,Desktop Support
Software,system flag ide opening diagnostic initiate,Application Support
Software,remote user experience application crash visualization vpn session active,Application Support
Security,help desk receive complaint suspicious admin activity review,Security Team
Access,guest account disabled issue escalate department head,Desktop Support
Security,phishe attempt report detect workstation team dispatch,Security Team
Software,recur software update loop report week,Application Support
Access,remote user experience access deny application vpn session active,Desktop Support
Network,remote user experience network alert storm vpn session active,Network Team
Access,mfa working issue escalate department head,Desktop Support
Access,api key expired detect workstation team dispatch,Desktop Support
Network,help desk receive complaint network ospf misconfigured review,Network Team
Access,post - maintenance report : access timeout observe,Desktop Support
Security,expose database detect workstation team dispatch,Security Team
Hardware,usb hub recognize impact business operation,Desktop Support
Network,on - site technician assign proxy server misconfiguration,Network Team
Hardware,automate alert trigger hard drive crash,Desktop Support
Security,remote user experience malware detect vpn session active,Security Team
Security,multiple user affect suspicious dns hijack priority raise,Security Team
Security,user unable proceed due suspicious shadow detect,Security Team
Security,incident log : suspicious pci violation await assignment,Security Team
Network,sla breach risk due network acl blocking escalate,Network Team
Hardware,laptop fan noise detect workstation team dispatch,Desktop Support
Hardware,external gpu detect confirm system scan,Desktop Support
Access,multiple user affect temporary access request priority raise,Desktop Support
Access,department manager flag remote desktop login failure critical,Desktop Support
Hardware,on - site technician assign laptop ram slot failure,Desktop Support
Security,ticket raise suspicious third - party compromise team notify,Security Team
Network,on - site technician assign hotspot work,Network Team
Access,third - party vendor notify access deny password policy,Desktop Support
Hardware,user unable proceed due printer detect,Desktop Support
Network,incident log : access point await assignment,Network Team
Software,multiple user affect application freeze startup priority raise,Application Support
Network,dhcp failure detect workstation team dispatch,Network Team
Security,multiple user affect phishing email detect priority raise,Security Team
Access,department manager flag share drive permission issue critical,Desktop Support
Hardware,user unable proceed due external gpu detect,Desktop Support
Access,access deny api issue escalate department head,Desktop Support
Hardware,recur laptop screen driver miss report week,Desktop Support
Security,suspicious process execution impact business operation,Security Team
Software,on - site technician assign script runtime error,Application Support
Access,recur inactive account report week,Desktop Support
Security,on - site technician assign suspicious cloud login,Security Team
Network,user submit ticket dhcp server unresponsive via self - service portal,Network Team
Access,remote user experience access right revoke vpn session active,Desktop Support
Network,network adapter disabled issue escalate department head,Network Team
Hardware,department manager flag laptop screen purple tint critical,Desktop Support
Security,sla breach risk due suspicious service startup escalate,Security Team
Security,firewall intrusion alert issue escalate department head,Security Team
Security,suspicious pci violation impact business operation,Security Team
Security,suspicious privilege misuse impact business operation,Security Team
Security,multiple user affect weak password detect priority raise,Security Team
Hardware,usb port working issue escalate department head,Desktop Support
Software,recur macro execution error report week,Application Support
Network,weak signal strength impact business operation,Network Team
Network,third - party vendor notify hotspot work,Network Team
Software,recur application crash macro report week,Application Support
Software,automate alert trigger version incompatibility,Application Support
Hardware,third - party vendor notify headset mic working,Desktop Support
Access,access deny abac policy impact business operation,Desktop Support
Security,incident log : suspicious hipaa violation await assignment,Security Team
Network,incident log : network unauthorized device detect await assignment,Network Team
Hardware,laptop screen resolution error issue escalate department head,Desktop Support
Software,post - maintenance report : mobile app instal observe,Application Support
Access,user submit ticket badge / physical access deny via self - service portal,Desktop Support
Network,help desk receive complaint network unauthorized device detect review,Network Team
Network,multiple user affect network firewall overload priority raise,Network Team
Network,vpn connection failure confirm system scan,Network Team
Hardware,automate alert trigger laptop screen resolution error,Desktop Support
Network,incident log : network spoof attempt await assignment,Network Team
Hardware,automate alert trigger keyboard malfunction,Desktop Support
Hardware,overheat gpu confirm system scan,Desktop Support
Access,user unable proceed due inactive account,Desktop Support
Access,multiple user affect access deny browser policy priority raise,Desktop Support
Access,ticket raise access deny misconfiguration team notify,Desktop Support
Network,network adapter disabled impact business operation,Network Team
Access,system flag access approval pende diagnostic initiate,Desktop Support
Hardware,remote user experience laptop screen dim vpn session active,Desktop Support
Software,incident log : application crash logout await assignment,Application Support
Security,incident log : email spoof detect await assignment,Security Team
Software,api timeout confirm system scan,Application Support
Software,post - maintenance report : application crash automation observe,Application Support
Security,department manager flag suspicious supply chain attack critical,Security Team
Access,third - party vendor notify share drive permission issue,Desktop Support
Security,suspicious ot device alert issue escalate department head,Security Team
Access,help desk receive complaint share folder accessible review,Desktop Support
Network,packet loss detect detect workstation team dispatch,Network Team
Access,system flag access deny server diagnostic initiate,Desktop Support
Software,browser crash impact business operation,Application Support
Network,ticket raise vpn tunnel drop team notify,Network Team
Access,access deny database detect workstation team dispatch,Desktop Support
Hardware,automate alert trigger fan noise issue,Desktop Support
Access,access deny saas provider impact business operation,Desktop Support
Hardware,multiple user affect laptop charge port loose priority raise,Desktop Support
Network,recur router reboot require report week,Network Team
Network,dhcp server unresponsive issue escalate department head,Network Team
Hardware,department manager flag hard drive failure critical,Desktop Support
Hardware,laptop battery swell issue escalate department head,Desktop Support
Network,department manager flag wi - fi authentication failure critical,Network Team
Hardware,system flag smartphone charge issue diagnostic initiate,Desktop Support
Hardware,sla breach risk due laptop trackpad jitter escalate,Desktop Support
Software,user submit ticket cache corruption via self - service portal,Application Support
Access,token validation error confirm system scan,Desktop Support
Software,post - maintenance report : service starting observe,Application Support
Software,ticket raise application crash module team notify,Application Support
Network,post - maintenance report : network misroute traffic observe,Network Team
Network,network misroute traffic impact business operation,Network Team
Security,suspicious network scan detect workstation team dispatch,Security Team
Hardware,incident log : keyboard key stick await assignment,Desktop Support
Network,proxy misconfiguration impact business operation,Network Team
Hardware,ticket raise webcam malfunction team notify,Desktop Support
Access,automate alert trigger access deny nist policy,Desktop Support
Security,sla breach risk due suspicious email attachment escalate,Security Team
Network,bgp misconfiguration impact business operation,Network Team
Network,recur network dual - stack error report week,Network Team
Network,sla breach risk due bandwidth exceed escalate,Network Team
Security,system flag weak password detect diagnostic initiate,Security Team
Hardware,docking station recognize impact business operation,Desktop Support
Hardware,recur laptop screen problem report week,Desktop Support
Security,automate alert trigger suspicious ip spoof,Security Team
Security,suspicious soc alert impact business operation,Security Team
Software,ui responsive detect workstation team dispatch,Application Support
Access,automate alert trigger badge / physical access deny,Desktop Support
Network,automate alert trigger network blackhole rout,Network Team
Access,department manager flag access deny switch critical,Desktop Support
Access,automate alert trigger access deny network policy,Desktop Support
Network,remote user experience bgp route flap vpn session active,Network Team
Hardware,incident log : laptop screen ghost image await assignment,Desktop Support
Security,system flag suspicious packet injection diagnostic initiate,Security Team
Software,on - site technician assign memory leak detect,Application Support
Network,access point impact business operation,Network Team
Network,automate alert trigger qos misconfigured,Network Team
Software,user unable proceed due application cpu overload,Application Support
Hardware,speaker / audio failure confirm system scan,Desktop Support
Security,unauthorized api call impact business operation,Security Team
Network,help desk receive complaint vpn connection failure review,Network Team
Security,remote user experience data breach incident vpn session active,Security Team
Access,department manager flag access deny iso policy critical,Desktop Support
Security,ticket raise suspicious mobile device alert team notify,Security Team
Hardware,user submit ticket laptop fan noise via self - service portal,Desktop Support
Security,remote user experience suspicious audit log tamper vpn session active,Security Team
Access,department manager flag access deny proxy critical,Desktop Support
Software,recur application crash logout report week,Application Support
Security,remote user experience suspicious outbound traffic vpn session active,Security Team
Hardware,multiple user affect laptop keyboard backlight failure priority raise,Desktop Support
Software,user submit ticket authentication error via self - service portal,Application Support
Hardware,recur ssd detect report week,Desktop Support
Software,user submit ticket cloud sync failure via self - service portal,Application Support
Security,ransomware alert detect workstation team dispatch,Security Team
Software,help desk receive complaint application crash workflow review,Application Support
Security,sla breach risk due suspicious endpoint alert escalate,Security Team
Network,sla breach risk due dhcp server unresponsive escalate,Network Team
Hardware,multiple user affect mouse issue priority raise,Desktop Support
Hardware,remote user experience laptop touch screen working vpn session active,Desktop Support
Hardware,system flag ssd detect diagnostic initiate,Desktop Support
Software,software installation fail impact business operation,Application Support
Network,help desk receive complaint voip call drop review,Network Team
Access,access deny certificate policy impact business operation,Desktop Support
Hardware,sla breach risk due laptop keyboard backlight failure escalate,Desktop Support
Access,automate alert trigger guest account disable,Desktop Support
Hardware,user unable proceed due tablet screen crack,Desktop Support
Security,user submit ticket suspicious cis violation via self - service portal,Security Team
Network,third - party vendor notify duplicate ip detect,Network Team
Access,temporary access request impact business operation,Desktop Support
Software,ticket raise application crash connect team notify,Application Support
Security,suspicious memory dump detect workstation team dispatch,Security Team
Software,user unable proceed due software update loop,Application Support
Hardware,multiple user affect hard drive failure priority raise,Desktop Support
Software,system flag application crash visualization diagnostic initiate,Application Support
Hardware,sla breach risk due monitor flickering escalate,Desktop Support
Security,incident log : suspicious ip spoof await assignment,Security Team
Software,recur application crash debug report week,Application Support
Access,multiple user affect access deny guest policy priority raise,Desktop Support
Access,sla breach risk due access deny database escalate,Desktop Support
Software,system flag virtual machine crash diagnostic initiate,Application Support
Access,user submit ticket access deny geolocation policy via self - service portal,Desktop Support
Security,incident log : suspicious scada alert await assignment,Security Team
Software,on - site technician assign application crash plugin,Application Support
Security,department manager flag suspicious replay attack critical,Security Team
Network,incident log : firewall nat error await assignment,Network Team
Security,ticket raise suspicious driver installation team notify,Security Team
Network,automate alert trigger captive portal issue,Network Team
Access,access deny gateway issue escalate department head,Desktop Support
Security,system flag suspicious beacon traffic diagnostic initiate,Security Team
Hardware,incident log : laptop screen crack await assignment,Desktop Support
Software,recur application crash export report week,Application Support
Software,application crash query issue escalate department head,Application Support
Security,sla breach risk due suspicious activity detect escalate,Security Team
Network,remote user experience network unauthorized access vpn session active,Network Team
Hardware,automate alert trigger laptop screen invert color,Desktop Support
Security,suspicious vm activity detect workstation team dispatch,Security Team
Software,collaboration tool login failure issue escalate department head,Application Support
Access,access deny custom policy impact business operation,Desktop Support
Hardware,department manager flag printer issue critical,Desktop Support
Access,incident log : password reset await assignment,Desktop Support
Security,system flag suspicious admin activity diagnostic initiate,Security Team
Hardware,on - site technician assign battery drain fast,Desktop Support
Network,automate alert trigger network port scanning detect,Network Team
Network,third - party vendor notify network ntp server unreachable,Network Team
Network,department manager flag network ipv6 misconfigured critical,Network Team
Hardware,system flag laptop screen hinge break diagnostic initiate,Desktop Support
Hardware,recur laptop screen invert color report week,Desktop Support
Software,application crash logout issue escalate department head,Application Support
Network,remote user experience vpn tunnel drop vpn session active,Network Team
Security,remote user experience suspicious exfiltration detect vpn session active,Security Team
Software,system flag application crash diagnostic initiate,Application Support
Network,network ipsec tunnel failure impact business operation,Network Team
Hardware,remote user experience laptop hinge loose vpn session active,Desktop Support
Software,department manager flag application crash workflow critical,Application Support
Hardware,monitor dead pixel impact business operation,Desktop Support
Software,software update loop issue escalate department head,Application Support
Security,ticket raise suspicious beacon traffic team notify,Security Team
Software,multiple user affect corrupted installation package priority raise,Application Support
Network,weak signal strength issue escalate department head,Network Team
Security,multiple user affect expose database priority raise,Security Team
Access,post - maintenance report : access audit failure observe,Desktop Support
Software,application crash module impact business operation,Application Support
Hardware,remote user experience peripheral compatibility issue vpn session active,Desktop Support
Security,automate alert trigger suspicious container activity,Security Team
Hardware,multiple user affect laptop screen color distortion priority raise,Desktop Support
Access,vpn access issue confirm system scan,Desktop Support
Access,ticket raise access deny geolocation policy team notify,Desktop Support
Security,user unable proceed due suspicious port knock,Security Team
Hardware,laptop screen horizontal line issue escalate department head,Desktop Support
Security,user unable proceed due suspicious outbound traffic,Security Team
Security,suspicious siem alert confirm system scan,Security Team
Network,automate alert trigger network repeater failure,Network Team
Hardware,user unable proceed due docking station recognize,Desktop Support
Access,help desk receive complaint unauthorized login attempt review,Desktop Support
Access,ticket raise certificate login failure team notify,Desktop Support
Hardware,user submit ticket scanner detect via self - service portal,Desktop Support
Hardware,incident log : smartphone charge issue await assignment,Desktop Support
Access,on - site technician assign privileged access misuse,Desktop Support
Network,access point misconfigure impact business operation,Network Team
Software,automate alert trigger application crash,Application Support
Hardware,user submit ticket laptop screen dim via self - service portal,Desktop Support
Access,access delegation error impact business operation,Desktop Support
Access,third - party vendor notify access deny casb policy,Desktop Support
Network,user unable proceed due network collision detect,Network Team
Security,on - site technician assign suspicious replay attack,Security Team
Access,automate alert trigger access token misconfigured,Desktop Support
Security,system flag suspicious vm activity diagnostic initiate,Security Team
Network,cloud service unreachable impacting business operation,Network Team
Security,third - party vendor notify suspicious pci violation,Security Team
Hardware,recur laptop screen color distortion report week,Desktop Support
Hardware,laptop screen green tint impact business operation,Desktop Support
Network,network ips alert confirm system scan,Network Team
Network,system flag network congestion diagnostic initiate,Network Team
Security,system flag suspicious email attachment diagnostic initiate,Security Team
Hardware,remote user experience hard drive crash vpn session active,Desktop Support
Access,user submit ticket access control list misconfigure via self - service portal,Desktop Support
Hardware,automate alert trigger laptop screen brightness issue,Desktop Support
Network,remote user experience network unauthorized device detect vpn session active,Network Team
Hardware,third - party vendor notify dock station failure,Desktop Support
Access,access deny cloud service detect workstation team dispatch,Desktop Support
Network,third - party vendor notify network blackhole rout,Network Team
Hardware,automate alert trigger laptop screen pink tint,Desktop Support
Hardware,third - party vendor notify webcam malfunction,Desktop Support
Security,user unable proceed due suspicious insider activity,Security Team
Network,ticket raise network syslog server team notify,Network Team
Software,third - party vendor notify application crash query,Application Support
Security,post - maintenance report : firewall intrusion alert observe,Security Team
Hardware,automate alert trigger motherboard failure,Desktop Support
Security,recur suspicious siem alert report week,Security Team
Software,remote user experience cache corruption vpn session active,Application Support
Security,ticket raise suspicious jwt token use team notify,Security Team
Network,automate alert trigger network compliance violation,Network Team
Hardware,user submit ticket monitor flicker via self - service portal,Desktop Support
Hardware,laptop screen driver miss issue escalate department head,Desktop Support
Access,recur access token misconfigured report week,Desktop Support
Access,department manager flag role permission mismatch critical,Desktop Support
Network,department manager flag port block critical,Network Team
Software,user submit ticket update rollback issue via self - service portal,Application Support
Access,on - site technician assign access deny vendor policy,Desktop Support
Network,incident log : ssid visible await assignment,Network Team
Software,ticket raise application crash logout team notify,Application Support
Security,on - site technician assign suspicious kernel activity,Security Team
Hardware,laptop overheat shutdown detect workstation team dispatch,Desktop Support
Security,multiple user affect suspicious mac spoof priority raise,Security Team
Software,multiple user affect macro execution error priority raise,Application Support
Security,suspicious sox violation impact business operation,Security Team
Software,version incompatibility confirm system scan,Application Support
Network,remote user experience network authentication failure vpn session active,Network Team
Security,remote user experience compromise credential vpn session active,Security Team
Software,department manager flag application crash container start critical,Application Support
Network,post - maintenance report : access point misconfigure observe,Network Team
Security,sql injection attempt confirm system scan,Security Team
Software,application crash connect issue escalate department head,Application Support
Software,sla breach risk due virtual machine crash escalate,Application Support
Software,multiple user affect application crash compile priority raise,Application Support
Hardware,multiple user affect laptop screen black screen priority raise,Desktop Support
Software,on - site technician assign application crash logout,Application Support
Network,user unable proceed due switch port failure,Network Team
Access,on - site technician assign access deny firewall,Desktop Support
Access,on - site technician assign access deny regulatory policy,Desktop Support
Security,malware detect detect workstation team dispatch,Security Team
Hardware,laptop speaker distortion confirm system scan,Desktop Support
Access,access deny temporary restriction confirm system scan,Desktop Support
Security,third - party vendor notify suspicious partner compromise,Security Team
Software,on - site technician assign application crash restore,Application Support
Software,application crash compile issue escalate department head,Application Support
Security,user unable proceed due cross - site scripting detect,Security Team
Access,access deny device compliance impact business operation,Desktop Support
Software,help desk receive complaint mobile app instal review,Application Support
Hardware,department manager flag monitor flickering critical,Desktop Support
Access,on - site technician assign smart card recognize,Desktop Support
Network,bridge mode error confirm system scan,Network Team
Security,recur suspicious rat detect report week,Security Team
Network,remote user experience ip conflict vpn session active,Network Team
Hardware,third - party vendor notify printer ink cartridge error,Desktop Support
Access,department manager flag directory sync error critical,Desktop Support
Hardware,user submit ticket laptop screen freeze image via self - service portal,Desktop Support
Network,post - maintenance report : network default gateway miss observe,Network Team
Access,automate alert trigger access compliance violation,Desktop Support
Network,system flag duplicate ip detect diagnostic initiate,Network Team
Access,user submit ticket group membership problem via self - service portal,Desktop Support
Access,incident log : access log failure await assignment,Desktop Support
Access,third - party vendor notify access deny gateway,Desktop Support
Network,automate alert trigger network dns server,Network Team
Security,suspicious replay attack confirm system scan,Security Team
Network,sla breach risk due bgp route flapping escalate,Network Team
Hardware,laptop battery swell confirm system scan,Desktop Support
Security,automate alert trigger suspicious audit log tampering,Security Team
Security,third - party vendor notify suspicious file download,Security Team
Software,post - maintenance report : application crash restore observe,Application Support
Access,user unable proceed due token expire,Desktop Support
Security,suspicious privilege misuse confirm system scan,Security Team
Security,department manager flag suspicious hypervisor activity critical,Security Team
Access,automate alert trigger biometric login fail,Desktop Support
Access,user unable proceed due api key expire,Desktop Support
Hardware,keyboard key stick issue escalate department head,Desktop Support
Hardware,printer detect issue escalate department head,Desktop Support
Network,department manager flag network asymmetric rout critical,Network Team
Access,user unable proceed due access revocation pende,Desktop Support
Security,on - site technician assign zero - day exploit,Security Team
Software,on - site technician assign application crash run,Application Support
Network,hotspot work impact business operation,Network Team
Software,on - site technician assign software installation fail,Application Support
Network,incident log : network snmp misconfigure await assignment,Network Team
Network,ticket raise network speed slow team notify,Network Team
Network,multiple user affect network configuration drift priority raise,Network Team
Access,ticket raise access deny custom policy team notify,Desktop Support
Access,on - site technician assign role permission mismatch,Desktop Support
Network,remote user experience proxy server misconfiguration vpn session active,Network Team
Security,incident log : certificate spoof await assignment,Security Team
Hardware,incident log : laptop screen black screen await assignment,Desktop Support
Access,user unable proceed due access deny saas provider,Desktop Support
Access,help desk receive complaint certificate login failure review,Desktop Support
Security,recur suspicious audit log tampering report week,Security Team
Hardware,post - maintenance report : ram issue observe,Desktop Support
Network,on - site technician assign access point,Network Team
Hardware,third - party vendor notify laptop hinge loose,Desktop Support
Software,application crash test issue escalate department head,Application Support
Access,access deny rbac policy detect workstation team dispatch,Desktop Support
Software,recur application crash query report week,Application Support
Software,help desk receive complaint application crash extension review,Application Support
Security,suspicious driver installation impact business operation,Security Team
Software,application deadlock confirm system scan,Application Support
Software,on - site technician assign software dependency miss,Application Support
Access,help desk receive complaint directory sync failure review,Desktop Support
Hardware,incident log : laptop fan failure await assignment,Desktop Support
Access,incident log : email account disabled await assignment,Desktop Support
Access,system flag mfa work diagnostic initiate,Desktop Support
Hardware,ticket raise motherboard failure team notify,Desktop Support
Network,recur switch port failure report week,Network Team
Security,on - site technician assign suspicious beacon traffic,Security Team
Security,ticket raise suspicious registry change team notify,Security Team
Access,help desk receive complaint access deny device compliance review,Desktop Support
Security,multiple user affect suspicious service startup priority raise,Security Team
Access,on - site technician assign access deny misconfiguration,Desktop Support
Software,background process stick detect workstation team dispatch,Application Support
Hardware,laptop screen white screen issue escalate department head,Desktop Support
Software,ticket raise application crash login team notify,Application Support
Security,remote user experience unauthorized access attempt vpn session active,Security Team
Network,automate alert trigger network id alert,Network Team
Security,recur suspicious insider activity report week,Security Team
Software,multiple user affect application memory overflow priority raise,Application Support
Network,department manager flag dns resolution problem critical,Network Team
Security,multiple user affect suspicious siem alert priority raise,Security Team
Network,help desk receive complaint network dns server review,Network Team
Security,remote user experience suspicious contractor compromise vpn session active,Security Team
Network,latency spike confirm system scan,Network Team
Hardware,help desk receive complaint mouse double - click issue review,Desktop Support
Hardware,system flag keyboard malfunction diagnostic initiate,Desktop Support
Network,remote user experience network ipv6 misconfigured vpn session active,Network Team
Hardware,remote user experience bio error vpn session active,Desktop Support
Hardware,laptop battery swell impact business operation,Desktop Support
Access,recur access deny auditor policy report week,Desktop Support
Software,department manager flag application configuration mismatch critical,Application Support
Access,incident log : access deny maintenance window awaiting assignment,Desktop Support
Software,user unable proceed due application crash compile,Application Support
Hardware,recur laptop trackpad jitter report week,Desktop Support
Hardware,scanner calibration issue detect workstation team dispatch,Desktop Support
Hardware,ssd detect confirm system scan,Desktop Support
Network,remote user experience network static route error vpn session active,Network Team
Hardware,sla breach risk due overheating issue escalate,Desktop Support
Security,user unable proceed due suspicious mobile device alert,Security Team
Software,user submit ticket operating system error via self - service portal,Application Support
Hardware,automate alert trigger laptop battery swell,Desktop Support
Security,system flag suspicious ip spoof diagnostic initiate,Security Team
Network,unstable wireless connection impact business operation,Network Team
Network,user submit ticket network acl blocking via self - service portal,Network Team
Access,department manager flag cloud account suspend critical,Desktop Support
Software,remote user experience application crash exit vpn session active,Application Support
Security,sla breach risk due suspicious soc alert escalate,Security Team
Hardware,system flag laptop charge port loose diagnostic initiate,Desktop Support
Access,on - site technician assign vpn login deny,Desktop Support
Network,slow network speed confirm system scan,Network Team
Network,multiple user affect internet outage priority raise,Network Team
Security,ticket raise suspicious cis violation team notify,Security Team
Software,third - party vendor notify configuration file miss,Application Support
Software,on - site technician assign application crash library,Application Support
Network,network repeater failure issue escalate department head,Network Team
Hardware,remote user experience laptop fan noise vpn session active,Desktop Support
Hardware,user unable proceed due usb hub recognize,Desktop Support
Software,help desk receive complaint software timeout review,Application Support
Network,network dual - stack error confirm system scan,Network Team
Software,post - maintenance report : app freeze observe,Application Support
Security,suspicious activity detect confirm system scan,Security Team
Network,automate alert trigger network ddo detect,Network Team
Access,account lockout issue escalate department head,Desktop Support
Network,multiple user affect network asymmetric routing priority raise,Network Team
Security,ticket raise suspicious exfiltration detect team notify,Security Team
Access,user access deny issue escalate department head,Desktop Support
Access,department manager flag guest account expire critical,Desktop Support
Network,rout loop issue escalate department head,Network Team
Access,incident log : password reset failure await assignment,Desktop Support
Hardware,sla breach risk due motherboard capacitor blow escalate,Desktop Support
Network,sla breach risk due network ip address error escalate,Network Team
Security,user unable proceed due suspicious nist violation,Security Team
Access,single sign - on error impact business operation,Desktop Support
Network,department manager flag network unauthorized access critical,Network Team
Hardware,laptop screen connector failure impact business operation,Desktop Support
Hardware,peripheral device failure issue escalate department head,Desktop Support
Access,user unable proceed due access deny vendor policy,Desktop Support
Security,post - maintenance report : suspicious replay attack observe,Security Team
Hardware,post - maintenance report : tablet screen crack observe,Desktop Support
Network,recur network dhcp server report week,Network Team
Hardware,third - party vendor notify laptop ram slot failure,Desktop Support
Security,suspicious replay attack impact business operation,Security Team
Security,multiple user affect suspicious nist violation priority raise,Security Team
Hardware,user unable proceed due laptop casing crack,Desktop Support
Software,application memory overflow confirm system scan,Application Support
Network,user unable proceed due network adapter disable,Network Team
Security,automate alert trigger suspicious registry change,Security Team
Network,post - maintenance report : network firewall overload observe,Network Team
Security,help desk receive complaint compromise credential review,Security Team
Hardware,system flag laptop screen connector failure diagnostic initiate,Desktop Support
Network,ssid visible impact business operation,Network Team
Network,department manager flag network static route error critical,Network Team
Software,on - site technician assign application crash connect,Application Support
Access,automate alert trigger access deny regulatory policy,Desktop Support
Access,system flag access deny firewall diagnostic initiate,Desktop Support
Hardware,multiple user affect external ssd overheat priority raise,Desktop Support
Network,help desk receive complaint network port scanning detect review,Network Team
Access,help desk receive complaint multi - factor authentication failure review,Desktop Support
Software,multiple user affect licensing issue priority raise,Application Support
Software,remote user experience application crash container start vpn session active,Application Support
Security,user unable proceed due suspicious activity detect,Security Team
Software,user submit ticket unsupported operating system version via self - service portal,Application Support
Hardware,post - maintenance report : laptop screen burn - in observe,Desktop Support
Access,on - site technician assign share drive permission issue,Desktop Support
Access,ticket raise badge / physical access deny team notify,Desktop Support
Access,sla breach risk due access deny endpoint policy escalate,Desktop Support
Security,rootkit find issue escalate department head,Security Team
Access,third - party vendor notify access deny cloud service,Desktop Support
Software,user submit ticket application crash compile via self - service portal,Application Support
Network,remote user experience network dual - stack error vpn session active,Network Team
Access,help desk receive complaint access deny iam policy review,Desktop Support
Security,user submit ticket suspicious process execution via self - service portal,Security Team
Hardware,automate alert trigger laptop screen frozen image,Desktop Support
Software,application crash cloud sync detect workstation team dispatch,Application Support
Access,ticket raise access approval pende team notify,Desktop Support
Security,remote user experience ddo attack detect vpn session active,Security Team
Security,incident log : suspicious custom policy violation await assignment,Security Team
Hardware,user unable proceed due keyboard respond,Desktop Support
Access,incident log : access deny password policy await assignment,Desktop Support
Hardware,sla breach risk due laptop bio corrupt escalate,Desktop Support
Software,service start detect workstation team dispatch,Application Support
Software,application deadlock impact business operation,Application Support
Security,third - party vendor notify suspicious service startup,Security Team
Hardware,remote user experience laptop screen ghost vpn session active,Desktop Support
Hardware,mouse issue impact business operation,Desktop Support
Network,user submit ticket bgp misconfiguration via self - service portal,Network Team
Software,on - site technician assign update rollback issue,Application Support
Hardware,ticket raise ssd detect team notify,Desktop Support
Network,department manager flag network rip misconfigure critical,Network Team
Network,automate alert trigger network default gateway miss,Network Team
Network,user unable proceed due network authentication failure,Network Team
Access,help desk receive complaint access deny temporary restriction review,Desktop Support
Network,on - site technician assign network snmp misconfigure,Network Team
Network,automate alert trigger cloud service unreachable,Network Team
Network,on - site technician assign load balancer misconfigured,Network Team
Access,remote user experience access deny cloud service vpn session active,Desktop Support
